MaterialNumber;Language;Description
10100M58Q00;EN;HALF ENGINE YXA K15C
15310M59Q00;EN;FLANGE SUB ASSY,W/FUEL FILTER
17931M59Q00;EN;TANK, WATER RESERVE
33850M66T10;EN;CABLE, BATTERY
36061M53B61;EN;HARNESS SET,MAIN
36061M53B71;EN;HARNESS SET,MAIN
36091M69S01;EN;HARNESS SET,MAIN
36091M69S11;EN;HARNESS SET,MAIN
3B105M58QA1-CVF;EN;CONTROLLER ASSY,BODY ELEC (CHROME)
3B105M58QB1-CVF;EN;CONTROLLER ASSY,BODY ELEC (CHROME)
3B105M58QC1-CVF;EN;CONTROLLER ASSY,BODY ELEC (CHROME)
3B105M58QD1-CVF;EN;CONTROLLER ASSY,BODY ELEC (CHROME)
3B105M58QE1-CVF;EN;CONTROLLER ASSY,BODY ELEC (CHROME)
3B440M58Q02;EN;CONTROLLER ASSY,GATEWAY
3B440M58QA2;EN;CONTROLLER ASSY,GATEWAY
3E130-63V00-XT;EN;CONTROLLER ASSY CVT
3F100-69T12;EN;CONTROLLER ASSY,AEB RADAR
64220M80T01-008;EN;LID COMP,FUEL INLET
85680M58Q30-F1J;EN;TRIM, FR CUSH, LH
95330M60Q00;EN;TANK ASSY,ACCUMULATOR
95431M60Q00;EN;VALVE,EXPANSION(A/C)
95431M60Q10;EN;VALVE,EXPANSION(BATTERY)
95544M60Q00;EN;SENSOR,REFRIGERANT TEMP
95544M60Q10;EN;SENSOR,REFRIGERANT TEMP
95544M60Q20;EN;SENSOR,REFRIGERANT TEMP
95551M60Q00;EN;VALVE ASSY,SOLENOID(2WAY)
95747M60Q00;EN;VALVE,NOT RETURN
990J0M53TTE-260;EN;ALTO K10 LE LXI
990J0M53TTE-270;EN;ALTO K10 LE VXI
990J0M53TTE-280;EN;ALTO K10 LE VXI+
990J0M69RTE-550;EN;WAGONR LE VZZ+ MT
990J0M69RTE-560;EN;WAGONR VZZ+ AMT
990J0M69RTE-570;EN;WAGONR LE L MT
IA9EL00M000;EN;CFT PART FEEDER DEVICE (210527),VIBRATOR
M17125001X4;EN;ENGINE OIL_0W16-FFO_IDEMITSU_BULK SUPPLY
M17125001Y4;EN;ENGINE OIL_0W16-FFO_IDEMITSU_BARREL SUPP
MA0OI135000;EN;952130003,CABLE,SPERONI
MA10F01I000;EN;B1028A30013,STOPPER PAD
MA15V01C000;EN;ANNEXURE-3 JUNCTION BOX,ELECTRICAL JUNCT
MA16T08D000;EN;AH165-P3B33,SELECTOR SWITCH,FUJI
MA1C205Z000;EN;B1028A20017.05,LOCATOR
MA1DY0XS000;EN;40559529,PAD
MA1DY0XT000;EN;9NK-455-A100,PAD
MA1DY0XU000;EN;9NK-455-A110,PAD
MA1DY0XV000;EN;58360249605,PAD
MA1DY0XW000;EN;FHF23000369/31,PAD
MA1DY0XX000;EN;JIG-DCB250-300,PAD
MA1DY0XY000;EN;A8661-012-001-L,PAD
MA1E709X000;EN;40559538,STOPPER
MA1E709Y000;EN;9NK-455-7B00,STOPPER
MA1E709Y001;EN;9NK-455-9S00,STOPPER
MA1E709Z000;EN;9NK-451-4M70,STOPPER
MA1G4019000;EN;959030660-00,CAMERA CABLE,SPERONI
