MaterialNumber;MaterialGroup;MaterialType
10100M58Q00;LOC COMP;ZOES
15310M59Q00;LOC COMP;ZOES
17931M59Q00;LOC COMP;ZOES
33850M66T10;LOC COMP;ZOES
36061M53B61;LOC COMP;ZOES
36061M53B71;LOC COMP;ZOES
36091M69S01;LOC COMP;ZOES
36091M69S11;LOC COMP;ZOES
3B105M58QA1-CVF;LOC COMP;ZOES
3B105M58QB1-CVF;LOC COMP;ZOES
3B105M58QC1-CVF;LOC COMP;ZOES
3B105M58QD1-CVF;LOC COMP;ZOES
3B105M58QE1-CVF;LOC COMP;ZOES
3B440M58Q02;LOC COMP;ZOES
3B440M58QA2;LOC COMP;ZOES
3E130-63V00-XT;LOC COMP;ZOES
3F100-69T12;IMP SMC;ZOES
64220M80T01-008;ED SPARES;ZOES
85680M58Q30-F1J;LOC COMP;ZOES
95330M60Q00;LOC COMP;ZOES
95431M60Q00;LOC COMP;ZOES
95431M60Q10;LOC COMP;ZOES
95544M60Q00;LOC COMP;ZOES
95544M60Q10;LOC COMP;ZOES
95544M60Q20;LOC COMP;ZOES
95551M60Q00;LOC COMP;ZOES
95747M60Q00;LOC COMP;ZOES
990J0M53TTE-260;LOC COMP;ZOES
990J0M53TTE-270;LOC COMP;ZOES
990J0M53TTE-280;LOC COMP;ZOES
990J0M69RTE-550;LOC COMP;ZOES
990J0M69RTE-560;LOC COMP;ZOES
990J0M69RTE-570;LOC COMP;ZOES
IA9EL00M000;MC SPARES;ZICM
M17125001X4;DIR CONS;ZDCL
M17125001Y4;DIR CONS;ZDCL
MA0OI135000;MC SPARES;ZICM
MA10F01I000;MC SPARES;ZICM
MA15V01C000;MC SPARES;ZICM
MA16T08D000;MC SPARES;ZICM
MA1C205Z000;MC SPARES;ZICM
MA1DY0XS000;MC SPARES;ZICM
MA1DY0XT000;MC SPARES;ZICM
MA1DY0XU000;MC SPARES;ZICM
MA1DY0XV000;MC SPARES;ZICM
MA1DY0XW000;MC SPARES;ZICM
MA1DY0XX000;MC SPARES;ZICM
MA1DY0XY000;MC SPARES;ZICM
MA1E709X000;MC SPARES;ZICM
MA1E709Y000;MC SPARES;ZICM
MA1E709Y001;MC SPARES;ZICM
MA1E709Z000;MC SPARES;ZICM
MA1G4019000;MC SPARES;ZICM
MA1Q30KV000;MC SPARES;ZICM
MA1Q30KW000;MC SPARES;ZICM
MA1QF09S000;MC SPARES;ZICM
MA1RW0N8000;MC SPARES;ZICM
MA1RW0N9000;MC SPARES;ZICM
