MaterialNumber;Plant
10100M58Q00;2021
10100M58Q00;2031
10100M58Q00;2032
10100M58Q00;2035
10100M58Q00;2036
10100M58Q00;2041
10100M58Q00;2701
10100M58Q00;2702
10100M58Q00;2703
10100M58Q00;2704
10100M58Q00;2705
10100M58Q00;2706
10100M58Q00;2707
10100M58Q00;2708
15310M59Q00;2021
15310M59Q00;2031
15310M59Q00;2032
15310M59Q00;2035
15310M59Q00;2036
15310M59Q00;2041
15310M59Q00;2701
15310M59Q00;2702
15310M59Q00;2703
15310M59Q00;2704
15310M59Q00;2705
15310M59Q00;2706
15310M59Q00;2707
15310M59Q00;2708
17931M59Q00;2021
17931M59Q00;2031
17931M59Q00;2032
17931M59Q00;2035
17931M59Q00;2036
17931M59Q00;2041
17931M59Q00;2701
17931M59Q00;2702
17931M59Q00;2703
17931M59Q00;2704
17931M59Q00;2705
17931M59Q00;2706
17931M59Q00;2707
17931M59Q00;2708
33850M66T10;2021
33850M66T10;2031
33850M66T10;2032
33850M66T10;2035
33850M66T10;2036
33850M66T10;2041
33850M66T10;2701
33850M66T10;2702
33850M66T10;2703
33850M66T10;2704
33850M66T10;2705
33850M66T10;2706
33850M66T10;2707
33850M66T10;2708
36061M53B61;2020
36061M53B61;2080
36061M53B71;2020
36061M53B71;2080
36091M69S01;2030
36091M69S01;2080
36091M69S11;2030
36091M69S11;2080
3B105M58QA1-CVF;2021
3B105M58QA1-CVF;2031
3B105M58QA1-CVF;2032
3B105M58QA1-CVF;2035
3B105M58QA1-CVF;2036
3B105M58QA1-CVF;2041
3B105M58QA1-CVF;2701
3B105M58QA1-CVF;2702
3B105M58QA1-CVF;2703
3B105M58QA1-CVF;2704
3B105M58QA1-CVF;2705
3B105M58QA1-CVF;2706
3B105M58QA1-CVF;2707
3B105M58QA1-CVF;2708
3B105M58QB1-CVF;2021
3B105M58QB1-CVF;2031
3B105M58QB1-CVF;2032
3B105M58QB1-CVF;2035
3B105M58QB1-CVF;2036
3B105M58QB1-CVF;2041
3B105M58QB1-CVF;2701
3B105M58QB1-CVF;2702
3B105M58QB1-CVF;2703
3B105M58QB1-CVF;2704
3B105M58QB1-CVF;2705
3B105M58QB1-CVF;2706
3B105M58QB1-CVF;2707
3B105M58QB1-CVF;2708
3B105M58QC1-CVF;2021
3B105M58QC1-CVF;2031
3B105M58QC1-CVF;2032
3B105M58QC1-CVF;2035
3B105M58QC1-CVF;2036
3B105M58QC1-CVF;2041
3B105M58QC1-CVF;2701
3B105M58QC1-CVF;2702
3B105M58QC1-CVF;2703
3B105M58QC1-CVF;2704
3B105M58QC1-CVF;2705
3B105M58QC1-CVF;2706
3B105M58QC1-CVF;2707
3B105M58QC1-CVF;2708
3B105M58QD1-CVF;2021
3B105M58QD1-CVF;2031
3B105M58QD1-CVF;2032
3B105M58QD1-CVF;2035
3B105M58QD1-CVF;2036
3B105M58QD1-CVF;2041
3B105M58QD1-CVF;2701
3B105M58QD1-CVF;2702
3B105M58QD1-CVF;2703
3B105M58QD1-CVF;2704
3B105M58QD1-CVF;2705
3B105M58QD1-CVF;2706
3B105M58QD1-CVF;2707
3B105M58QD1-CVF;2708
3B105M58QE1-CVF;2021
3B105M58QE1-CVF;2031
3B105M58QE1-CVF;2032
3B105M58QE1-CVF;2035
3B105M58QE1-CVF;2036
3B105M58QE1-CVF;2041
3B105M58QE1-CVF;2701
3B105M58QE1-CVF;2702
3B105M58QE1-CVF;2703
3B105M58QE1-CVF;2704
3B105M58QE1-CVF;2705
3B105M58QE1-CVF;2706
3B105M58QE1-CVF;2707
3B105M58QE1-CVF;2708
3B440M58Q02;2021
3B440M58Q02;2031
3B440M58Q02;2032
3B440M58Q02;2035
3B440M58Q02;2036
3B440M58Q02;2041
3B440M58Q02;2701
3B440M58Q02;2702
3B440M58Q02;2703
3B440M58Q02;2704
3B440M58Q02;2705
3B440M58Q02;2706
3B440M58Q02;2707
3B440M58Q02;2708
3B440M58QA2;2021
3B440M58QA2;2031
3B440M58QA2;2032
3B440M58QA2;2035
3B440M58QA2;2036
3B440M58QA2;2041
3B440M58QA2;2701
3B440M58QA2;2702
3B440M58QA2;2703
3B440M58QA2;2704
3B440M58QA2;2705
3B440M58QA2;2706
3B440M58QA2;2707
3B440M58QA2;2708
3E130-63V00-XT;2020
3E130-63V00-XT;2080
3F100-69T12;2020
3F100-69T12;2040
3F100-69T12;2080
3F100-69T12;3200
64220M80T01-008;2020
64220M80T01-008;2021
64220M80T01-008;2031
64220M80T01-008;2032
64220M80T01-008;2041
64220M80T01-008;2080
64220M80T01-008;2705
85680M58Q30-F1J;2021
85680M58Q30-F1J;2031
85680M58Q30-F1J;2032
85680M58Q30-F1J;2035
85680M58Q30-F1J;2036
85680M58Q30-F1J;2041
85680M58Q30-F1J;2701
85680M58Q30-F1J;2702
85680M58Q30-F1J;2703
85680M58Q30-F1J;2704
85680M58Q30-F1J;2705
85680M58Q30-F1J;2706
85680M58Q30-F1J;2707
85680M58Q30-F1J;2708
95330M60Q00;2020
95330M60Q00;2080
95431M60Q00;2020
95431M60Q00;2080
95431M60Q10;2020
95431M60Q10;2080
95544M60Q00;2020
95544M60Q00;2080
95544M60Q10;2020
95544M60Q10;2080
95544M60Q20;2020
95544M60Q20;2080
95551M60Q00;2020
95551M60Q00;2080
95747M60Q00;2020
95747M60Q00;2080
990J0M53TTE-260;2021
990J0M53TTE-260;2031
990J0M53TTE-260;2032
990J0M53TTE-260;2035
990J0M53TTE-260;2036
990J0M53TTE-260;2041
990J0M53TTE-260;2701
990J0M53TTE-260;2702
990J0M53TTE-260;2703
990J0M53TTE-260;2704
990J0M53TTE-260;2705
990J0M53TTE-260;2706
990J0M53TTE-260;2707
990J0M53TTE-260;2708
990J0M53TTE-270;2021
990J0M53TTE-270;2031
990J0M53TTE-270;2032
990J0M53TTE-270;2035
990J0M53TTE-270;2036
990J0M53TTE-270;2041
990J0M53TTE-270;2701
990J0M53TTE-270;2702
990J0M53TTE-270;2703
990J0M53TTE-270;2704
990J0M53TTE-270;2705
990J0M53TTE-270;2706
990J0M53TTE-270;2707
990J0M53TTE-270;2708
990J0M53TTE-280;2021
990J0M53TTE-280;2031
990J0M53TTE-280;2032
990J0M53TTE-280;2035
990J0M53TTE-280;2036
990J0M53TTE-280;2041
990J0M53TTE-280;2701
990J0M53TTE-280;2702
990J0M53TTE-280;2703
990J0M53TTE-280;2704
990J0M53TTE-280;2705
990J0M53TTE-280;2706
990J0M53TTE-280;2707
990J0M53TTE-280;2708
990J0M69RTE-550;2021
990J0M69RTE-550;2031
990J0M69RTE-550;2032
990J0M69RTE-550;2035
990J0M69RTE-550;2036
990J0M69RTE-550;2041
990J0M69RTE-550;2701
990J0M69RTE-550;2702
990J0M69RTE-550;2703
990J0M69RTE-550;2704
990J0M69RTE-550;2705
990J0M69RTE-550;2706
990J0M69RTE-550;2707
990J0M69RTE-550;2708
990J0M69RTE-560;2021
990J0M69RTE-560;2031
990J0M69RTE-560;2032
990J0M69RTE-560;2035
990J0M69RTE-560;2036
990J0M69RTE-560;2041
990J0M69RTE-560;2701
990J0M69RTE-560;2702
990J0M69RTE-560;2703
990J0M69RTE-560;2704
990J0M69RTE-560;2705
990J0M69RTE-560;2706
990J0M69RTE-560;2707
990J0M69RTE-560;2708
990J0M69RTE-570;2021
990J0M69RTE-570;2031
990J0M69RTE-570;2032
990J0M69RTE-570;2035
990J0M69RTE-570;2036
990J0M69RTE-570;2041
990J0M69RTE-570;2701
990J0M69RTE-570;2702
990J0M69RTE-570;2703
990J0M69RTE-570;2704
990J0M69RTE-570;2705
990J0M69RTE-570;2706
990J0M69RTE-570;2707
990J0M69RTE-570;2708
IA9EL00M000;2020
IA9EL00M000;2030
IA9EL00M000;2033
IA9EL00M000;2034
IA9EL00M000;2040
IA9EL00M000;2050
IA9EL00M000;2080
IA9EL00M000;2705
IA9EL00M000;3200
M17125001X4;3200
M17125001Y4;3200
MA0OI135000;2020
MA0OI135000;2030
MA0OI135000;2033
MA0OI135000;2034
MA0OI135000;2040
MA0OI135000;2050
MA0OI135000;2080
MA0OI135000;2705
MA0OI135000;3200
MA10F01I000;2020
MA10F01I000;2030
MA10F01I000;2033
MA10F01I000;2034
MA10F01I000;2040
MA10F01I000;2050
MA10F01I000;2080
MA10F01I000;2705
MA10F01I000;3200
MA15V01C000;2020
MA15V01C000;2030
MA15V01C000;2033
MA15V01C000;2034
MA15V01C000;2040
MA15V01C000;2050
MA15V01C000;2080
MA15V01C000;2705
MA15V01C000;3200
MA16T08D000;2020
MA16T08D000;2030
MA16T08D000;2033
MA16T08D000;2034
MA16T08D000;2040
MA16T08D000;2050
MA16T08D000;2080
MA16T08D000;2705
MA16T08D000;3200
MA1C205Z000;2020
MA1C205Z000;2030
MA1C205Z000;2033
MA1C205Z000;2034
MA1C205Z000;2040
MA1C205Z000;2050
MA1C205Z000;2080
MA1C205Z000;2705
MA1C205Z000;3200
MA1DY0XS000;2020
MA1DY0XS000;2030
MA1DY0XS000;2033
MA1DY0XS000;2034
MA1DY0XS000;2040
MA1DY0XS000;2050
MA1DY0XS000;2080
MA1DY0XS000;2705
MA1DY0XS000;3200
MA1DY0XT000;2020
MA1DY0XT000;2030
MA1DY0XT000;2033
MA1DY0XT000;2034
MA1DY0XT000;2040
MA1DY0XT000;2050
MA1DY0XT000;2080
MA1DY0XT000;2705
MA1DY0XT000;3200
MA1DY0XU000;2020
MA1DY0XU000;2030
MA1DY0XU000;2033
MA1DY0XU000;2034
MA1DY0XU000;2040
MA1DY0XU000;2050
MA1DY0XU000;2080
MA1DY0XU000;2705
MA1DY0XU000;3200
MA1DY0XV000;2020
MA1DY0XV000;2030
MA1DY0XV000;2033
MA1DY0XV000;2034
MA1DY0XV000;2040
MA1DY0XV000;2050
MA1DY0XV000;2080
MA1DY0XV000;2705
MA1DY0XV000;3200
MA1DY0XW000;2020
MA1DY0XW000;2030
MA1DY0XW000;2033
MA1DY0XW000;2034
MA1DY0XW000;2040
MA1DY0XW000;2050
MA1DY0XW000;2080
MA1DY0XW000;2705
MA1DY0XW000;3200
MA1DY0XX000;2020
MA1DY0XX000;2030
MA1DY0XX000;2033
MA1DY0XX000;2034
MA1DY0XX000;2040
MA1DY0XX000;2050
MA1DY0XX000;2080
MA1DY0XX000;2705
MA1DY0XX000;3200
MA1DY0XY000;2020
MA1DY0XY000;2030
MA1DY0XY000;2033
MA1DY0XY000;2034
MA1DY0XY000;2040
MA1DY0XY000;2050
MA1DY0XY000;2080
MA1DY0XY000;2705
MA1DY0XY000;3200
MA1E709X000;2020
MA1E709X000;2030
MA1E709X000;2033
MA1E709X000;2034
MA1E709X000;2040
MA1E709X000;2050
MA1E709X000;2080
MA1E709X000;2705
MA1E709X000;3200
MA1E709Y000;2020
MA1E709Y000;2030
MA1E709Y000;2033
MA1E709Y000;2034
MA1E709Y000;2040
MA1E709Y000;2050
MA1E709Y000;2080
MA1E709Y000;2705
MA1E709Y000;3200
MA1E709Y001;2020
MA1E709Y001;2030
MA1E709Y001;2033
MA1E709Y001;2034
MA1E709Y001;2040
MA1E709Y001;2050
MA1E709Y001;2080
MA1E709Y001;2705
MA1E709Y001;3200
MA1E709Z000;2020
MA1E709Z000;2030
MA1E709Z000;2033
MA1E709Z000;2034
MA1E709Z000;2040
MA1E709Z000;2050
MA1E709Z000;2080
MA1E709Z000;2705
MA1E709Z000;3200
MA1G4019000;2020
