Legacy_Serial_number,Material_Type,Material,Material_Description,Legacy_Field_Value,Material_Group,Old_material_number,Unit_of_Weight,Material_Description_1,Volume_Unit,Denominator,Display_Unit_Measure,Numerator,Base_Unit_of_Measure,Denominator_1,Numerator_1,Denominator_2,Display_Unit_Measure_1,Numerator_2,Base_Unit_of_Measure_1,Denominator_3,Display_Unit_Measure_2,Numerator_3,Base_Unit_of_Measure_2,DOMESTIC_FLAG,NO_STOCK_CHECK_IND,Legacy_Company_Code,POTXT,Manufacturer_Part_No_,Valid_From,Loading_Group,Material_Group_3,Valuation_Class,ZZ1_MM_RP_PLT,Process_Flag,Storage_Location_Extend,Material_Group_4,Denominator_4,Display_Unit_Measure_3,Numerator_4,Denominator_5,Display_Unit_Measure_4,Numerator_5,Item_Plan_Type,Effective_Till_Date,Plant_type_Legacy,HSN
10_2026:07:01 16:27:13 564,ZOES,3B105M58QE1-CVF,"CONTROLLER ASSY,BODY ELEC (CHROME)",EA,LOC COMP,,G,"CONTROLLER ASSY,BODY ELEC (CHROME)",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,2,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
11_2026:07:01 16:27:13 565,ZOES,3B105M58QE1-CVF,"CONTROLLER ASSY,BODY ELEC (CHROME)",EA,LOC COMP,,G,"CONTROLLER ASSY,BODY ELEC (CHROME)",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,3,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
12_2026:07:01 16:27:13 566,ZOES,3B105M58QE1-CVF,"CONTROLLER ASSY,BODY ELEC (CHROME)",EA,LOC COMP,,G,"CONTROLLER ASSY,BODY ELEC (CHROME)",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,1,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
12_2026:07:02 10:53:17 596,ZOES,36091M69S11,"HARNESS SET,MAIN",NO,LOC COMP,,,"HARNESS SET,MAIN",,1,,1,,0,0,0,,0,,0,,0,,P,,2,,,9999-12-31,,,,36091M69S11,S,S,,0,,0,0,,0,2080.0,9999-12-31,,9999
13_2026:07:01 16:27:13 567,ZOES,33850M66T10,"CABLE, BATTERY",EA,LOC COMP,,G,"CABLE, BATTERY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,2,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
14_2026:07:01 16:27:13 569,ZOES,33850M66T10,"CABLE, BATTERY",EA,LOC COMP,,G,"CABLE, BATTERY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,3,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
15_2026:07:01 16:27:13 569,ZOES,33850M66T10,"CABLE, BATTERY",EA,LOC COMP,,G,"CABLE, BATTERY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,1,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
16_2026:07:01 16:27:13 571,ZOES,3B440M58Q02,"CONTROLLER ASSY,GATEWAY",EA,LOC COMP,,G,"CONTROLLER ASSY,GATEWAY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,2,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
17_2026:07:01 11:41:19 158,ZOES,3F100-69T12,"CONTROLLER ASSY,AEB RADAR",NO,IMP SMC,,,"CONTROLLER ASSY,AEB RADAR",,1,,1,,0,0,0,,0,,0,,0,,S,N,1,,,9999-12-31,,,,3F100-69T12,S,S,,0,,0,0,,0,2080.0,9999-12-31,,9999
17_2026:07:01 16:27:13 572,ZOES,3B440M58Q02,"CONTROLLER ASSY,GATEWAY",EA,LOC COMP,,G,"CONTROLLER ASSY,GATEWAY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,3,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
18_2026:07:01 16:27:13 572,ZOES,3B440M58Q02,"CONTROLLER ASSY,GATEWAY",EA,LOC COMP,,G,"CONTROLLER ASSY,GATEWAY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,1,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
19_2026:07:01 16:27:13 574,ZOES,3B440M58QA2,"CONTROLLER ASSY,GATEWAY",EA,LOC COMP,,G,"CONTROLLER ASSY,GATEWAY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,2,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
